Id,SalePrice
1461,175365.69221415624
1462,176271.87193753422
1463,177031.21098033816
1464,177667.50394414124
1465,178200.68966614795
1466,178647.4760213713
1467,179021.8634795771
1468,179335.58382314438
1469,179598.46777347653
1470,179818.7530458832
1471,180003.3424861209
1472,180158.0203775433
1473,180287.63369704882
1474,180396.2439996509
1475,180487.25469111628
1476,180563.51767687878
1477,180627.4227291728
1478,180680.9723727892
1479,180725.8446360689
1480,180763.44563349607
1481,180794.95362761492
1482,180821.35595099253
1483,180843.47994521153
1484,180862.01888639486
1485,180877.553709664
1486,180890.57121328608
1487,180901.47931295444
1488,180910.61982420992
1489,180918.27917355133
1490,180924.69737387888
1491,180930.07554552355
1492,180934.58221854144
1493,180938.35861376123
1494,180941.5230680714
1495,180944.17474261776
1496,180946.39673011086
1497,180948.2586586142
1498,180949.818873405
1499,180951.12626527797
1500,180952.2218025845
1501,180953.13981501432
1502,180953.90906934848
1503,180954.55367089354
1504,180955.09381884383
1505,180955.5464392424
1506,180955.9257153742
1507,180956.2435322128
1508,180956.5098488471
1509,180956.7330105588
1510,180956.92001032957
1511,180957.07670797274
1512,180957.20801375603
1513,180957.31804226938
1514,180957.41024135952
1515,180957.48750017153
1516,180957.5522396827
1517,180957.60648856644
1518,180957.6519467624
1519,180957.69003874582
1520,180957.72195816477
1521,180957.74870524422
1522,180957.77111812893
1523,180957.78989914776
1524,180957.80563682152
1525,180957.818824305
1526,180957.82987484036
1527,180957.83913470653
1528,180957.84689407007
1529,180957.8533960779
1530,180957.8588444766
1531,180957.86340999682
1532,180957.86723570342
1533,180957.87044147853
1534,180957.8731277781
1535,180957.87537877983
1536,180957.877265021
1537,180957.87884560876
1538,180957.88017007228
1539,180957.88127991487
1540,180957.88220991453
1541,180957.88298921363
1542,180957.88364223225
1543,180957.88418943333
1544,180957.88464796395
1545,180957.8850321926
1546,180957.88535415943
1547,180957.88562395357
1548,180957.88585002927
1549,180957.88603947085
1550,180957.8861982146
1551,180957.88633123497
1552,180957.8864427002
1553,180957.8865361032
1554,180957.88661437086
1555,180957.88667995573
1556,180957.886734913
1557,180957.88678096476
1558,180957.88681955414
1559,180957.88685189036
1560,180957.8868789867
1561,180957.88690169223
1562,180957.8869207185
1563,180957.88693666167
1564,180957.88695002135
1565,180957.88696121617
1566,180957.88697059697
1567,180957.88697845765
1568,180957.88698504455
1569,180957.8869905641
1570,180957.88699518924
1571,180957.88699906488
1572,180957.88700231252
