id,isDefault
800000,0.10188047
800001,0.38657963
800002,0.47711292
800003,0.35520604
800004,0.25342864
800005,0.0434754
800006,0.31249714
800007,0.049964182
800008,0.40254802
800009,0.050312664
800010,0.26311263
800011,0.19093698
800012,0.34012783
800013,0.26183125
800014,0.1588818
800015,0.09059273
800016,0.1567055
800017,0.20240194
800018,0.040840082
800019,0.27560318
800020,0.07425049
800021,0.12652789
800022,0.33844605
800023,0.030952223
800024,0.2673524
800025,0.15673432
800026,0.046441767
800027,0.13758112
800028,0.24828348
800029,0.22070368
800030,0.054599747
800031,0.12575875
800032,0.06409538
800033,0.08809437
800034,0.5803292
800035,0.22773997
800036,0.0495747
800037,0.13250218
800038,0.0950855
800039,0.10253864
800040,0.3145284
800041,0.16891733
800042,0.008331113
800043,0.1801145
800044,0.11136549
800045,0.18234822
800046,0.12988693
800047,0.1817829
800048,0.04453007
800049,0.27421287
800050,0.31939897
800051,0.11113316
800052,0.035237536
800053,0.39816678
800054,0.49982238
800055,0.1827247
800056,0.45332018
800057,0.09314594
800058,0.50079834
800059,0.2071722
800060,0.5373358
800061,0.09402368
800062,0.12333272
800063,0.25578892
800064,0.092235796
800065,0.06377198
800066,0.50375265
800067,0.13481243
800068,0.10210919
800069,0.058708496
800070,0.09402831
800071,0.02648319
800072,0.095407374
800073,0.10606385
800074,0.06583345
800075,0.06507821
800076,0.076944225
800077,0.19655365
800078,0.13044566
800079,0.31890932
800080,0.36867815
800081,0.070898674
800082,0.4023016
800083,0.3600413
800084,0.3962614
800085,0.35155174
800086,0.13567047
800087,0.08387131
800088,0.096983075
800089,0.21166895
800090,0.22347581
800091,0.34035644
800092,0.023961589
800093,0.07528775
800094,0.0765075
800095,0.10380408
800096,0.08149743
800097,0.23605317
800098,0.13244146
800099,0.25044918
800100,0.22221337
800101,0.16017574
800102,0.12564413
800103,0.13188864
800104,0.069849774
800105,0.38484097
800106,0.107540675
800107,0.22324254
800108,0.12710714
800109,0.30766582
800110,0.31880054
800111,0.23189104
800112,0.13678226
800113,0.11079773
800114,0.07960054
800115,0.084339865
800116,0.21573228
800117,0.3094114
800118,0.23623903
800119,0.040052757
800120,0.12469247
800121,0.10000399
800122,0.19296747
800123,0.27283844
800124,0.26752943
800125,0.2857056
800126,0.21126665
800127,0.2642721
800128,0.19234306
800129,0.08651022
800130,0.18454263
800131,0.3104093
800132,0.13967088
800133,0.042135987
800134,0.53714883
800135,0.026993403
800136,0.030244347
800137,0.2804576
800138,0.23459151
800139,0.21278235
800140,0.16465865
800141,0.23341125
800142,0.33052108
800143,0.072332256
